时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 09:40:27.267,COM4, -0.118, -1.000, 0.120, 0.183, 0.610, -0.427, -83.227, 7.586, 141.542, 46.79,
 09:40:27.284,COM4, -0.114, -1.000, 0.120, 0.183, 0.610, -0.427, -83.221, 7.575, 141.537, 46.79,
 09:40:27.284,COM4, -0.114, -0.999, 0.119, 0.366, 1.465, -0.061, -83.221, 7.570, 141.526, 46.78,
 09:40:27.284,COM4, -0.110, -0.999, 0.119, 0.366, 1.465, -0.061, -83.216, 7.564, 141.509, 46.78,
 09:40:27.284,COM4, -0.110, -1.001, 0.119, 0.671, 3.662, 0.305, -83.216, 7.564, 141.482, 46.77,
 09:40:27.284,COM4, -0.107, -1.001, 0.119, 0.671, 3.662, 0.305, -83.210, 7.570, 141.443, 46.77,
 09:40:27.284,COM4, -0.107, -0.996, 0.121, 1.160, 7.751, 0.977, -83.210, 7.575, 141.383, 46.77,
 09:40:27.284,COM4, -0.106, -0.996, 0.121, 1.160, 7.751, 0.977, -83.205, 7.586, 141.306, 46.77,
 09:40:27.284,COM4, -0.106, -0.996, 0.126, 0.916, 11.475, 1.160, -83.205, 7.603, 141.213, 46.78,
 09:40:27.357,COM4, -0.086, -0.996, 0.126, 0.916, 11.475, 1.160, -83.210, 7.625, 141.097, 46.78,
 09:40:27.357,COM4, -0.086, -1.001, 0.137, 1.587, 20.264, 2.319, -83.216, 7.652, 140.938, 46.78,
 09:40:27.357,COM4, -0.086, -1.001, 0.137, 1.587, 20.264, 2.319, -83.227, 7.690, 140.735, 46.78,
 09:40:27.357,COM4, -0.086, -1.001, 0.140, 3.296, 31.860, 3.357, -83.232, 7.740, 140.477, 46.78,
 09:40:27.357,COM4, -0.093, -1.001, 0.140, 3.296, 31.860, 3.357, -83.243, 7.800, 140.158, 46.78,
 09:40:27.357,COM4, -0.093, -0.996, 0.126, 4.211, 43.396, 4.700, -83.254, 7.872, 139.785, 46.79,
 09:40:27.357,COM4, -0.116, -0.996, 0.126, 4.211, 43.396, 4.700, -83.265, 7.954, 139.356, 46.79,
 09:40:27.357,COM4, -0.116, -0.990, 0.116, 3.784, 50.720, 5.737, -83.287, 8.053, 138.889, 46.77,
 09:40:27.358,COM4, -0.115, -0.990, 0.116, 3.784, 50.720, 5.737, -83.315, 8.152, 138.384, 46.77,
 09:40:27.462,COM4, -0.115, -0.994, 0.105, 3.235, 55.420, 7.019, -83.353, 8.267, 137.856, 46.79,
 09:40:27.462,COM4, -0.099, -0.994, 0.105, 3.235, 55.420, 7.019, -83.397, 8.383, 137.307, 46.79,
 09:40:27.462,COM4, -0.099, -0.997, 0.097, 5.249, 64.026, 9.216, -83.441, 8.520, 136.719, 46.78,
 09:40:27.462,COM4, -0.080, -0.997, 0.097, 5.249, 64.026, 9.216, -83.480, 8.668, 136.082, 46.78,
 09:40:27.462,COM4, -0.080, -0.994, 0.117, 7.629, 78.979, 11.963, -83.524, 8.839, 135.374, 46.79,
 09:40:27.462,COM4, -0.061, -0.994, 0.117, 7.629, 78.979, 11.963, -83.568, 9.025, 134.594, 46.79,
 09:40:27.462,COM4, -0.061, -0.995, 0.153, 9.338, 98.633, 13.855, -83.617, 9.234, 133.715, 46.79,
 09:40:27.462,COM4, -0.062, -0.995, 0.153, 9.338, 98.633, 13.855, -83.683, 9.454, 132.737, 46.79,
 09:40:27.462,COM4, -0.062, -0.996, 0.167, 10.254, 122.192, 14.709, -83.760, 9.690, 131.638, 46.78,
 09:40:27.536,COM4, -0.088, -0.996, 0.167, 10.254, 122.192, 14.709, -83.859, 9.943, 130.419, 46.78,
 09:40:27.536,COM4, -0.088, -0.997, 0.144, 10.864, 145.630, 15.991, -83.979, 10.206, 129.084, 46.78,
 09:40:27.536,COM4, -0.145, -0.997, 0.144, 10.864, 145.630, 15.991, -84.117, 10.481, 127.628, 46.78,
