时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 11:04:29.495,COM4, -0.236, -0.937, 0.217, -3.113, -1.282, 3.540, -76.426, 14.947, -96.652, 45.27,
 11:04:29.528,COM4, -0.236, -0.942, 0.215, -3.601, 0.427, 2.747, -76.459, 14.969, -96.641, 45.28,
 11:04:29.528,COM4, -0.243, -0.942, 0.215, -3.601, 0.427, 2.747, -76.498, 14.985, -96.636, 45.28,
 11:04:29.528,COM4, -0.243, -0.940, 0.229, -5.615, -0.244, 1.160, -76.542, 15.002, -96.636, 45.26,
 11:04:29.528,COM4, -0.229, -0.940, 0.229, -5.615, -0.244, 1.160, -76.597, 15.002, -96.630, 45.26,
 11:04:29.528,COM4, -0.229, -0.949, 0.245, -6.836, 0.549, -0.122, -76.663, 15.002, -96.630, 45.27,
 11:04:29.528,COM4, -0.244, -0.949, 0.245, -6.836, 0.549, -0.122, -76.729, 14.991, -96.636, 45.27,
 11:04:29.528,COM4, -0.244, -0.950, 0.241, -7.141, 3.906, -0.854, -76.805, 14.985, -96.658, 45.27,
 11:04:29.528,COM4, -0.260, -0.950, 0.241, -7.141, 3.906, -0.854, -76.882, 14.980, -96.696, 45.27,
 11:04:29.589,COM4, -0.260, -0.959, 0.240, -6.897, 2.075, -1.282, -76.959, 14.969, -96.729, 45.27,
 11:04:29.589,COM4, -0.248, -0.959, 0.240, -6.897, 2.075, -1.282, -77.031, 14.952, -96.757, 45.27,
 11:04:29.589,COM4, -0.248, -0.973, 0.247, -6.531, 1.160, -2.014, -77.097, 14.936, -96.773, 45.28,
 11:04:29.589,COM4, -0.251, -0.973, 0.247, -6.531, 1.160, -2.014, -77.162, 14.908, -96.790, 45.28,
 11:04:29.589,COM4, -0.251, -0.974, 0.238, -5.310, 2.686, -1.831, -77.217, 14.892, -96.812, 45.27,
 11:04:29.589,COM4, -0.274, -0.974, 0.238, -5.310, 2.686, -1.831, -77.272, 14.870, -96.844, 45.27,
 11:04:29.589,COM4, -0.274, -0.975, 0.238, -5.371, 2.686, -1.587, -77.327, 14.859, -96.877, 45.27,
 11:04:29.589,COM4, -0.279, -0.975, 0.238, -5.371, 2.686, -1.587, -77.382, 14.843, -96.905, 45.27,
 11:04:29.589,COM4, -0.279, -0.981, 0.234, -4.272, 0.854, -0.610, -77.432, 14.832, -96.927, 45.27,
 11:04:29.684,COM4, -0.270, -0.981, 0.234, -4.272, 0.854, -0.610, -77.465, 14.826, -96.938, 45.27,
 11:04:29.684,COM4, -0.270, -0.972, 0.230, -3.357, 1.160, 0.793, -77.498, 14.826, -96.943, 45.27,
 11:04:29.684,COM4, -0.272, -0.972, 0.230, -3.357, 1.160, 0.793, -77.531, 14.832, -96.954, 45.27,
 11:04:29.684,COM4, -0.272, -0.964, 0.227, -2.930, 1.770, 2.136, -77.558, 14.848, -96.965, 45.27,
 11:04:29.684,COM4, -0.275, -0.964, 0.227, -2.930, 1.770, 2.136, -77.580, 14.875, -96.982, 45.27,
 11:04:29.684,COM4, -0.275, -0.961, 0.224, -2.869, 0.366, 2.808, -77.607, 14.897, -96.987, 45.27,
 11:04:29.684,COM4, -0.256, -0.961, 0.224, -2.869, 0.366, 2.808, -77.624, 14.925, -96.982, 45.27,
 11:04:29.684,COM4, -0.256, -0.955, 0.214, -1.526, -0.244, 3.906, -77.640, 14.958, -96.976, 45.28,
 11:04:29.684,COM4, -0.248, -0.955, 0.214, -1.526, -0.244, 3.906, -77.646, 14.996, -96.965, 45.28,
 11:04:29.766,COM4, -0.248, -0.946, 0.199, -0.305, 0.732, 4.822, -77.646, 15.040, -96.954, 45.27,
 11:04:29.766,COM4, -0.250, -0.946, 0.199, -0.305, 0.732, 4.822, -77.646, 15.084, -96.954, 45.27,
 11:04:29.766,COM4, -0.250, -0.941, 0.191, -1.404, -0.854, 4.211, -77.646, 15.128, -96.943, 45.28,
 11:04:29.766,COM4, -0.249, -0.941, 0.191, -1.404, -0.854, 4.211, -77.651, 15.161, -96.921, 45.28,
 11:04:29.766,COM4, -0.249, -0.942, 0.203, -4.211, -5.371, 2.502, -77.668, 15.189, -96.883, 45.27,
 11:04:29.766,COM4, -0.222, -0.942, 0.203, -4.211, -5.371, 2.502, -77.690, 15.200, -96.823, 45.27,
 11:04:29.766,COM4, -0.222, -0.948, 0.209, -6.836, -9.644, 1.221, -77.723, 15.194, -96.746, 45.28,
 11:04:29.766,COM4, -0.197, -0.948, 0.209, -6.836, -9.644, 1.221, -77.761, 15.183, -96.641, 45.28,
 11:04:29.860,COM4, -0.197, -0.962, 0.211, -6.836, -8.789, 0.732, -77.805, 15.167, -96.548, 45.28,
 11:04:29.860,COM4, -0.194, -0.962, 0.211, -6.836, -8.789, 0.732, -77.844, 15.150, -96.454, 45.28,
 11:04:29.860,COM4, -0.194, -0.965, 0.195, -5.127, -6.165, 0.854, -77.882, 15.134, -96.378, 45.28,
 11:04:29.860,COM4, -0.225, -0.965, 0.195, -5.127, -6.165, 0.854, -77.915, 15.117, -96.317, 45.28,
 11:04:29.860,COM4, -0.225, -0.959, 0.207, -7.385, -7.935, -1.709, -77.959, 15.090, -96.246, 45.27,
 11:04:29.860,COM4, -0.220, -0.959, 0.207, -7.385, -7.935, -1.709, -78.008, 15.046, -96.169, 45.27,
 11:04:29.860,COM4, -0.220, -0.969, 0.211, -7.751, -11.292, -3.479, -78.058, 14.991, -96.075, 45.28,
 11:04:29.860,COM4, -0.211, -0.969, 0.211, -7.751, -11.292, -3.479, -78.107, 14.919, -95.966, 45.28,
 11:04:29.860,COM4, -0.211, -0.968, 0.205, -6.531, -8.789, -3.601, -78.151, 14.854, -95.872, 45.27,
