时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 15:04:37.636,COM4, -0.271, -0.400, 0.887, -0.305, -1.831, -1.282, -24.247, 17.858, -35.310, 47.54,
 15:04:37.636,COM4, -0.271, -0.399, 0.884, 0.610, 1.892, -0.977, -24.247, 17.864, -35.321, 47.54,
 15:04:37.636,COM4, -0.277, -0.399, 0.884, 0.610, 1.892, -0.977, -24.247, 17.864, -35.332, 47.54,
 15:04:37.636,COM4, -0.277, -0.404, 0.879, 0.427, 3.540, -0.244, -24.247, 17.886, -35.343, 47.53,
 15:04:37.636,COM4, -0.270, -0.404, 0.879, 0.427, 3.540, -0.244, -24.252, 17.908, -35.354, 47.53,
 15:04:37.636,COM4, -0.270, -0.403, 0.880, 0.244, 4.822, 0.977, -24.252, 17.946, -35.359, 47.54,
 15:04:37.636,COM4, -0.275, -0.403, 0.880, 0.244, 4.822, 0.977, -24.252, 17.979, -35.365, 47.54,
 15:04:37.636,COM4, -0.275, -0.399, 0.885, -0.244, 4.761, 1.404, -24.258, 18.018, -35.370, 47.53,
 15:04:37.714,COM4, -0.280, -0.399, 0.885, -0.244, 4.761, 1.404, -24.263, 18.056, -35.370, 47.53,
 15:04:37.714,COM4, -0.280, -0.397, 0.887, -0.427, 5.005, 1.465, -24.274, 18.094, -35.370, 47.54,
 15:04:37.714,COM4, -0.284, -0.397, 0.887, -0.427, 5.005, 1.465, -24.280, 18.133, -35.370, 47.54,
 15:04:37.714,COM4, -0.284, -0.396, 0.883, -0.977, 5.249, 1.404, -24.291, 18.177, -35.376, 47.54,
 15:04:37.714,COM4, -0.287, -0.396, 0.883, -0.977, 5.249, 1.404, -24.307, 18.215, -35.381, 47.54,
 15:04:37.714,COM4, -0.287, -0.394, 0.882, -2.197, 4.700, 0.427, -24.335, 18.248, -35.392, 47.52,
 15:04:37.714,COM4, -0.289, -0.394, 0.882, -2.197, 4.700, 0.427, -24.362, 18.281, -35.403, 47.52,
 15:04:37.714,COM4, -0.289, -0.393, 0.884, -3.296, 4.822, -0.366, -24.401, 18.309, -35.420, 47.54,
 15:04:37.714,COM4, -0.290, -0.393, 0.884, -3.296, 4.822, -0.366, -24.439, 18.336, -35.436, 47.54,
 15:04:37.807,COM4, -0.290, -0.393, 0.888, -4.150, 5.615, -1.465, -24.489, 18.369, -35.469, 47.54,
 15:04:37.807,COM4, -0.298, -0.393, 0.888, -4.150, 5.615, -1.465, -24.543, 18.402, -35.502, 47.54,
 15:04:37.807,COM4, -0.298, -0.401, 0.881, -4.395, 5.859, -2.563, -24.598, 18.435, -35.552, 47.54,
 15:04:37.807,COM4, -0.298, -0.401, 0.881, -4.395, 5.859, -2.563, -24.659, 18.463, -35.596, 47.54,
 15:04:37.807,COM4, -0.298, -0.419, 0.875, -3.052, 5.249, -3.113, -24.703, 18.484, -35.640, 47.54,
