时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 23:56:06.883,COM4, -0.180, -0.014, 0.990, 4.761, 0.000, 1.770, 0.357, 11.722, 69.966, 46.59,
 23:56:06.883,COM4, -0.180, -0.015, 0.989, 12.146, 4.517, 4.578, 0.445, 11.739, 69.999, 46.58,
 23:56:06.883,COM4, -0.187, -0.015, 0.989, 12.146, 4.517, 4.578, 0.571, 11.777, 70.043, 46.58,
 23:56:06.883,COM4, -0.187, 0.037, 0.981, 10.071, 5.249, 4.517, 0.687, 11.816, 70.093, 46.59,
 23:56:06.883,COM4, -0.188, 0.037, 0.981, 10.071, 5.249, 4.517, 0.791, 11.860, 70.137, 46.59,
 23:56:06.883,COM4, -0.188, 0.026, 0.980, 4.150, 4.272, 2.441, 0.868, 11.904, 70.175, 46.60,
 23:56:06.883,COM4, -0.179, 0.026, 0.980, 4.150, 4.272, 2.441, 0.912, 11.937, 70.197, 46.60,
 23:56:06.884,COM4, -0.179, 0.024, 0.981, 1.038, 4.272, 0.671, 0.939, 11.970, 70.214, 46.58,
 23:56:06.884,COM4, -0.186, 0.024, 0.981, 1.038, 4.272, 0.671, 0.950, 12.003, 70.219, 46.58,
 23:56:06.956,COM4, -0.186, 0.018, 0.985, -0.488, 4.272, -0.427, 0.950, 12.041, 70.219, 46.60,
 23:56:06.956,COM4, -0.195, 0.018, 0.985, -0.488, 4.272, -0.427, 0.945, 12.074, 70.214, 46.60,
 23:56:06.956,COM4, -0.195, 0.009, 0.984, -0.244, 3.784, -0.244, 0.939, 12.107, 70.214, 46.59,
 23:56:06.956,COM4, -0.188, 0.009, 0.984, -0.244, 3.784, -0.244, 0.934, 12.134, 70.208, 46.59,
 23:56:06.956,COM4, -0.188, 0.009, 0.983, -0.122, 3.479, 0.366, 0.928, 12.162, 70.208, 46.59,
 23:56:06.956,COM4, -0.179, 0.009, 0.983, -0.122, 3.479, 0.366, 0.928, 12.189, 70.214, 46.59,
 23:56:06.956,COM4, -0.179, 0.011, 0.982, -0.183, 3.845, 1.221, 0.928, 12.217, 70.219, 46.59,
 23:56:06.956,COM4, -0.192, 0.011, 0.982, -0.183, 3.845, 1.221, 0.928, 12.244, 70.236, 46.59,
 23:56:06.956,COM4, -0.192, -0.008, 0.986, 1.831, 4.089, 2.686, 0.939, 12.272, 70.252, 46.60,
 23:56:07.038,COM4, -0.190, -0.008, 0.986, 1.831, 4.089, 2.686, 0.956, 12.305, 70.280, 46.60,
 23:56:07.038,COM4, -0.190, 0.018, 0.985, 3.235, 2.136, 5.127, 0.989, 12.327, 70.318, 46.59,
 23:56:07.038,COM4, -0.162, 0.018, 0.985, 3.235, 2.136, 5.127, 1.027, 12.338, 70.373, 46.59,
 23:56:07.038,COM4, -0.162, 0.018, 0.988, 2.625, 3.479, 4.639, 1.066, 12.354, 70.422, 46.59,
 23:56:07.038,COM4, -0.168, 0.018, 0.988, 2.625, 3.479, 4.639, 1.099, 12.376, 70.466, 46.59,
 23:56:07.038,COM4, -0.168, 0.014, 0.993, 3.479, 7.141, 4.578, 1.137, 12.420, 70.516, 46.59,
 23:56:07.038,COM4, -0.184, 0.014, 0.993, 3.479, 7.141, 4.578, 1.181, 12.475, 70.565, 46.59,
 23:56:07.038,COM4, -0.184, 0.021, 1.016, 5.188, 12.939, 6.287, 1.236, 12.563, 70.620, 46.60,
 23:56:07.038,COM4, -0.167, 0.021, 1.016, 5.188, 12.939, 6.287, 1.296, 12.678, 70.686, 46.60,
 23:56:07.127,COM4, -0.167, 0.024, 1.023, 7.324, 20.630, 6.836, 1.373, 12.827, 70.757, 46.59,
 23:56:07.127,COM4, -0.126, 0.024, 1.023, 7.324, 20.630, 6.836, 1.456, 13.013, 70.829, 46.59,
 23:56:07.127,COM4, -0.126, 0.000, 1.049, 10.132, 36.072, 5.676, 1.560, 13.277, 70.900, 46.59,
 23:56:07.127,COM4, -0.173, 0.000, 1.049, 10.132, 36.072, 5.676, 1.670, 13.612, 70.972, 46.59,
