时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 11:09:20.668,COM4, 0.811, 0.534, 0.254, 4.089, -4.150, -1.953, 62.188, -51.910, 57.964, 46.86,
 11:09:20.670,COM4, 0.811, 0.532, 0.249, 3.357, -4.211, -3.235, 62.287, -51.910, 57.898, 46.87,
 11:09:20.670,COM4, 0.771, 0.532, 0.249, 3.357, -4.211, -3.235, 62.391, -51.910, 57.827, 46.87,
 11:09:20.670,COM4, 0.771, 0.529, 0.238, 2.197, -2.441, -3.784, 62.485, -51.899, 57.761, 46.86,
 11:09:20.670,COM4, 0.767, 0.529, 0.238, 2.197, -2.441, -3.784, 62.562, -51.888, 57.711, 46.86,
 11:09:20.670,COM4, 0.767, 0.521, 0.229, 0.366, -1.526, -3.357, 62.622, -51.872, 57.667, 46.86,
 11:09:20.670,COM4, 0.784, 0.521, 0.229, 0.366, -1.526, -3.357, 62.672, -51.855, 57.629, 46.86,
 11:09:20.670,COM4, 0.784, 0.506, 0.230, -1.099, 2.258, -3.357, 62.693, -51.833, 57.618, 46.86,
 11:09:20.746,COM4, 0.795, 0.506, 0.230, -1.099, 2.258, -3.357, 62.682, -51.801, 57.640, 46.86,
 11:09:20.746,COM4, 0.795, 0.495, 0.248, -1.953, 3.723, -3.662, 62.666, -51.768, 57.667, 46.85,
 11:09:20.746,COM4, 0.800, 0.495, 0.248, -1.953, 3.723, -3.662, 62.633, -51.729, 57.706, 46.85,
 11:09:20.746,COM4, 0.800, 0.502, 0.258, -1.953, 3.235, -4.639, 62.611, -51.691, 57.733, 46.86,
 11:09:20.746,COM4, 0.799, 0.502, 0.258, -1.953, 3.235, -4.639, 62.589, -51.647, 57.755, 46.86,
 11:09:20.746,COM4, 0.799, 0.511, 0.254, -1.770, 1.465, -5.798, 62.584, -51.603, 57.761, 46.87,
 11:09:20.746,COM4, 0.794, 0.511, 0.254, -1.770, 1.465, -5.798, 62.589, -51.559, 57.750, 46.87,
 11:09:20.746,COM4, 0.794, 0.515, 0.258, -1.343, -0.366, -7.324, 62.617, -51.515, 57.722, 46.85,
 11:09:20.746,COM4, 0.779, 0.515, 0.258, -1.343, -0.366, -7.324, 62.655, -51.465, 57.673, 46.85,
 11:09:20.841,COM4, 0.779, 0.521, 0.254, -0.671, -3.662, -7.996, 62.715, -51.422, 57.596, 46.87,
 11:09:20.841,COM4, 0.779, 0.521, 0.254, -0.671, -3.662, -7.996, 62.803, -51.383, 57.497, 46.87,
 11:09:20.841,COM4, 0.779, 0.540, 0.263, 0.122, -8.667, -7.202, 62.919, -51.356, 57.360, 46.87,
 11:09:20.841,COM4, 0.775, 0.540, 0.263, 0.122, -8.667, -7.202, 63.062, -51.345, 57.195, 46.87,
 11:09:20.841,COM4, 0.775, 0.558, 0.266, 1.099, -11.841, -6.226, 63.226, -51.345, 57.008, 46.87,
 11:09:20.841,COM4, 0.780, 0.558, 0.266, 1.099, -11.841, -6.226, 63.408, -51.356, 56.805, 46.87,
 11:09:20.841,COM4, 0.780, 0.564, 0.250, 1.892, -7.324, -5.798, 63.567, -51.356, 56.635, 46.86,
 11:09:20.841,COM4, 0.798, 0.564, 0.250, 1.892, -7.324, -5.798, 63.704, -51.345, 56.497, 46.86,
 11:09:20.841,COM4, 0.798, 0.563, 0.230, 1.953, 0.061, -6.897, 63.803, -51.317, 56.409, 46.87,
 11:09:20.937,COM4, 0.780, 0.563, 0.230, 1.953, 0.061, -6.897, 63.864, -51.262, 56.371, 46.87,
 11:09:20.937,COM4, 0.780, 0.566, 0.233, 2.380, 1.343, -7.385, 63.924, -51.207, 56.343, 46.85,
 11:09:20.937,COM4, 0.764, 0.566, 0.233, 2.380, 1.343, -7.385, 63.984, -51.141, 56.321, 46.85,
 11:09:20.938,COM4, 0.764, 0.563, 0.245, 3.296, -1.465, -7.019, 64.061, -51.086, 56.277, 46.85,
 11:09:20.938,COM4, 0.764, 0.563, 0.245, 3.296, -1.465, -7.019, 64.155, -51.037, 56.217, 46.85,
 11:09:20.938,COM4, 0.764, 0.557, 0.253, 4.089, -4.028, -6.287, 64.270, -50.999, 56.140, 46.88,
 11:09:20.938,COM4, 0.771, 0.557, 0.253, 4.089, -4.028, -6.287, 64.396, -50.966, 56.047, 46.88,
 11:09:20.938,COM4, 0.771, 0.558, 0.255, 4.333, -1.404, -6.531, 64.512, -50.927, 55.975, 46.87,
 11:09:20.938,COM4, 0.767, 0.558, 0.255, 4.333, -1.404, -6.531, 64.611, -50.883, 55.920, 46.87,
 11:09:21.018,COM4, 0.767, 0.556, 0.252, 4.089, 2.563, -6.531, 64.688, -50.828, 55.893, 46.87,
 11:09:21.018,COM4, 0.766, 0.556, 0.252, 4.089, 2.563, -6.531, 64.737, -50.768, 55.893, 46.87,
 11:09:21.018,COM4, 0.766, 0.553, 0.254, 3.479, 2.991, -5.798, 64.781, -50.707, 55.904, 46.87,
 11:09:21.018,COM4, 0.766, 0.553, 0.254, 3.479, 2.991, -5.798, 64.819, -50.647, 55.915, 46.87,
 11:09:21.018,COM4, 0.768, 0.553, 0.254, 3.479, 2.991, -5.798, 64.852, -50.592, 55.926, 46.88,
 11:09:21.018,COM4, 0.768, 0.563, 0.262, 2.563, 1.892, -4.761, 64.885, -50.548, 55.931, 46.88,
 11:09:21.018,COM4, 0.765, 0.563, 0.262, 2.563, 1.892, -4.761, 64.918, -50.504, 55.937, 46.88,
 11:09:21.018,COM4, 0.765, 0.579, 0.268, 2.258, 1.160, -3.174, 64.951, -50.477, 55.937, 46.86,
 11:09:21.114,COM4, 0.773, 0.579, 0.268, 2.258, 1.160, -3.174, 64.979, -50.449, 55.942, 46.86,
 11:09:21.114,COM4, 0.773, 0.591, 0.275, 1.953, 1.221, -2.075, 64.995, -50.433, 55.953, 46.85,
 11:09:21.114,COM4, 0.768, 0.591, 0.275, 1.953, 1.221, -2.075, 65.017, -50.411, 55.964, 46.85,
 11:09:21.114,COM4, 0.768, 0.605, 0.283, 1.770, 0.793, -1.038, 65.034, -50.400, 55.981, 46.86,
 11:09:21.114,COM4, 0.771, 0.605, 0.283, 1.770, 0.793, -1.038, 65.050, -50.389, 55.992, 46.86,
 11:09:21.114,COM4, 0.771, 0.606, 0.281, 1.892, -1.343, 0.427, 65.083, -50.400, 55.986, 46.87,
 11:09:21.114,COM4, 0.783, 0.606, 0.281, 1.892, -1.343, 0.427, 65.110, -50.411, 55.975, 46.87,
 11:09:21.114,COM4, 0.783, 0.599, 0.271, 2.136, -3.845, 1.038, 65.171, -50.438, 55.937, 46.87,
 11:09:21.114,COM4, 0.789, 0.599, 0.271, 2.136, -3.845, 1.038, 65.231, -50.460, 55.898, 46.87,
 11:09:21.193,COM4, 0.789, 0.591, 0.263, 2.319, -5.676, 1.221, 65.308, -50.493, 55.833, 46.87,
 11:09:21.193,COM4, 0.798, 0.591, 0.263, 2.319, -5.676, 1.221, 65.391, -50.532, 55.767, 46.87,
 11:09:21.193,COM4, 0.798, 0.581, 0.269, 2.502, -5.798, 1.038, 65.473, -50.565, 55.701, 46.87,
 11:09:21.193,COM4, 0.795, 0.581, 0.269, 2.502, -5.798, 1.038, 65.555, -50.598, 55.629, 46.87,
 11:09:21.193,COM4, 0.795, 0.571, 0.264, 2.502, -5.310, 0.732, 65.638, -50.625, 55.569, 46.85,
 11:09:21.193,COM4, 0.786, 0.571, 0.264, 2.502, -5.310, 0.732, 65.715, -50.652, 55.503, 46.85,
 11:09:21.193,COM4, 0.786, 0.565, 0.250, 2.930, -6.226, 1.038, 65.803, -50.691, 55.432, 46.87,
 11:09:21.193,COM4, 0.796, 0.565, 0.250, 2.930, -6.226, 1.038, 65.896, -50.724, 55.355, 46.87,
 11:09:21.193,COM4, 0.796, 0.566, 0.240, 2.930, -8.301, 1.282, 66.011, -50.773, 55.250, 46.86,
 11:09:21.272,COM4, 0.802, 0.566, 0.240, 2.930, -8.301, 1.282, 66.121, -50.823, 55.146, 46.86,
