时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 11:13:46.474,COM4, -0.526, 0.615, 0.580, 0.061, 0.854, 0.000, 46.780, 31.789, 174.595, 46.38,
 11:13:46.474,COM4, -0.527, 0.615, 0.580, 0.061, 0.854, 0.000, 46.785, 31.794, 174.600, 46.38,
 11:13:46.474,COM4, -0.527, 0.606, 0.577, -0.366, -0.183, 0.183, 46.780, 31.794, 174.600, 46.38,
 11:13:46.474,COM4, -0.522, 0.606, 0.577, -0.366, -0.183, 0.183, 46.774, 31.789, 174.600, 46.38,
 11:13:46.474,COM4, -0.522, 0.604, 0.581, -0.671, -1.099, 0.427, 46.763, 31.778, 174.595, 46.38,
 11:13:46.474,COM4, -0.525, 0.604, 0.581, -0.671, -1.099, 0.427, 46.747, 31.767, 174.589, 46.38,
 11:13:46.474,COM4, -0.525, 0.604, 0.588, -0.916, -1.953, 0.427, 46.730, 31.750, 174.573, 46.38,
 11:13:46.474,COM4, -0.516, 0.604, 0.588, -0.916, -1.953, 0.427, 46.714, 31.734, 174.562, 46.38,
 11:13:46.568,COM4, -0.516, 0.606, 0.590, -0.549, -1.892, 0.122, 46.697, 31.718, 174.545, 46.38,
 11:13:46.568,COM4, -0.505, 0.606, 0.590, -0.549, -1.892, 0.122, 46.681, 31.707, 174.529, 46.38,
 11:13:46.568,COM4, -0.505, 0.601, 0.577, 0.122, -0.244, -0.122, 46.675, 31.707, 174.523, 46.38,
 11:13:46.568,COM4, -0.513, 0.601, 0.577, 0.122, -0.244, -0.122, 46.675, 31.701, 174.523, 46.38,
 11:13:46.568,COM4, -0.513, 0.600, 0.576, 0.977, 0.488, -0.610, 46.681, 31.712, 174.523, 46.38,
 11:13:46.568,COM4, -0.518, 0.600, 0.576, 0.977, 0.488, -0.610, 46.686, 31.718, 174.518, 46.38,
 11:13:46.568,COM4, -0.518, 0.612, 0.584, 1.526, -0.549, -0.916, 46.692, 31.718, 174.507, 46.37,
 11:13:46.568,COM4, -0.535, 0.612, 0.584, 1.526, -0.549, -0.916, 46.697, 31.723, 174.496, 46.37,
 11:13:46.568,COM4, -0.535, 0.627, 0.589, 2.075, -1.343, -1.404, 46.703, 31.723, 174.474, 46.39,
 11:13:46.632,COM4, -0.563, 0.627, 0.589, 2.075, -1.343, -1.404, 46.714, 31.723, 174.452, 46.39,
 11:13:46.632,COM4, -0.563, 0.644, 0.576, 3.540, -2.319, -2.747, 46.725, 31.729, 174.408, 46.38,
 11:13:46.632,COM4, -0.563, 0.644, 0.576, 3.540, -2.319, -2.747, 46.736, 31.734, 174.364, 46.38,
 11:13:46.632,COM4, -0.563, 0.653, 0.568, 5.005, -1.892, -4.761, 46.758, 31.756, 174.309, 46.40,
 11:13:46.632,COM4, -0.555, 0.653, 0.568, 5.005, -1.892, -4.761, 46.780, 31.778, 174.254, 46.40,
