时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 23:21:41.596,COM4, -0.786, 0.202, 0.582, 0.061, 0.916, 0.122, 20.550, 52.240, -107.886, 45.13,
 23:21:41.596,COM4, -0.792, 0.202, 0.582, 0.061, 0.916, 0.122, 20.555, 52.245, -107.864, 45.13,
 23:21:41.596,COM4, -0.792, 0.209, 0.580, 0.305, -0.916, 0.732, 20.555, 52.229, -107.853, 45.12,
 23:21:41.596,COM4, -0.781, 0.209, 0.580, 0.305, -0.916, 0.732, 20.561, 52.218, -107.836, 45.12,
 23:21:41.596,COM4, -0.781, 0.211, 0.582, -0.061, -1.892, 0.732, 20.555, 52.196, -107.825, 45.12,
 23:21:41.596,COM4, -0.778, 0.211, 0.582, -0.061, -1.892, 0.732, 20.550, 52.174, -107.814, 45.12,
 23:21:41.596,COM4, -0.778, 0.210, 0.583, -0.122, -1.404, 0.427, 20.544, 52.152, -107.809, 45.12,
 23:21:41.596,COM4, -0.778, 0.210, 0.583, -0.122, -1.404, 0.427, 20.533, 52.136, -107.798, 45.12,
 23:21:41.597,COM4, -0.778, 0.209, 0.584, -0.488, -1.038, 0.183, 20.522, 52.125, -107.792, 45.12,
 23:21:41.700,COM4, -0.779, 0.209, 0.584, -0.488, -1.038, 0.183, 20.511, 52.108, -107.787, 45.12,
 23:21:41.700,COM4, -0.779, 0.203, 0.585, -0.183, -0.977, 0.183, 20.500, 52.097, -107.781, 45.13,
 23:21:41.700,COM4, -0.782, 0.203, 0.585, -0.183, -0.977, 0.183, 20.495, 52.086, -107.770, 45.13,
 23:21:41.700,COM4, -0.782, 0.207, 0.583, 0.122, -2.014, 0.549, 20.490, 52.064, -107.765, 45.12,
 23:21:41.700,COM4, -0.776, 0.207, 0.583, 0.122, -2.014, 0.549, 20.484, 52.037, -107.759, 45.12,
 23:21:41.700,COM4, -0.776, 0.210, 0.586, -0.305, -2.380, 0.488, 20.468, 52.009, -107.759, 45.14,
 23:21:41.700,COM4, -0.774, 0.210, 0.586, -0.305, -2.380, 0.488, 20.457, 51.987, -107.754, 45.14,
 23:21:41.700,COM4, -0.774, 0.207, 0.586, -0.916, -1.343, 0.183, 20.440, 51.971, -107.748, 45.12,
 23:21:41.776,COM4, -0.778, 0.207, 0.586, -0.916, -1.343, 0.183, 20.418, 51.954, -107.748, 45.12,
 23:21:41.776,COM4, -0.778, 0.205, 0.585, -0.793, -0.549, 0.183, 20.407, 51.943, -107.737, 45.13,
 23:21:41.776,COM4, -0.788, 0.205, 0.585, -0.793, -0.549, 0.183, 20.396, 51.938, -107.726, 45.13,
 23:21:41.776,COM4, -0.788, 0.208, 0.585, -0.244, -1.587, 0.610, 20.385, 51.916, -107.721, 45.13,
 23:21:41.776,COM4, -0.774, 0.208, 0.585, -0.244, -1.587, 0.610, 20.380, 51.894, -107.710, 45.13,
 23:21:41.776,COM4, -0.774, 0.213, 0.590, -0.793, -2.319, 0.305, 20.363, 51.872, -107.710, 45.14,
 23:21:41.776,COM4, -0.757, 0.213, 0.590, -0.793, -2.319, 0.305, 20.341, 51.844, -107.710, 45.14,
 23:21:41.776,COM4, -0.757, 0.210, 0.594, -1.099, -0.732, -0.305, 20.319, 51.828, -107.710, 45.13,
 23:21:41.776,COM4, -0.758, 0.210, 0.594, -1.099, -0.732, -0.305, 20.297, 51.823, -107.710, 45.13,
 23:21:41.855,COM4, -0.758, 0.210, 0.596, -1.099, 1.343, -0.610, 20.281, 51.823, -107.704, 45.13,
 23:21:41.855,COM4, -0.773, 0.210, 0.596, -1.099, 1.343, -0.610, 20.264, 51.828, -107.699, 45.13,
 23:21:41.855,COM4, -0.773, 0.207, 0.594, -0.916, 2.136, -0.488, 20.253, 51.844, -107.688, 45.13,
 23:21:41.855,COM4, -0.791, 0.207, 0.594, -0.916, 2.136, -0.488, 20.242, 51.861, -107.677, 45.13,
 23:21:41.855,COM4, -0.791, 0.203, 0.584, -0.427, -0.244, 0.549, 20.237, 51.861, -107.661, 45.13,
 23:21:41.855,COM4, -0.783, 0.203, 0.584, -0.427, -0.244, 0.549, 20.231, 51.855, -107.650, 45.13,
 23:21:41.855,COM4, -0.783, 0.205, 0.585, -0.488, -2.563, 1.160, 20.226, 51.833, -107.633, 45.13,
 23:21:41.855,COM4, -0.780, 0.205, 0.585, -0.488, -2.563, 1.160, 20.220, 51.801, -107.622, 45.13,
 23:21:41.855,COM4, -0.780, 0.203, 0.586, -0.061, -3.174, 1.831, 20.215, 51.768, -107.606, 45.13,
 23:21:41.946,COM4, -0.783, 0.203, 0.586, -0.061, -3.174, 1.831, 20.220, 51.729, -107.589, 45.13,
 23:21:41.946,COM4, -0.783, 0.208, 0.588, 0.122, -3.418, 2.319, 20.226, 51.691, -107.567, 45.13,
 23:21:41.946,COM4, -0.785, 0.208, 0.588, 0.122, -3.418, 2.319, 20.231, 51.647, -107.545, 45.13,
 23:21:41.946,COM4, -0.785, 0.208, 0.587, -0.427, -4.761, 2.319, 20.237, 51.597, -107.523, 45.14,
 23:21:41.946,COM4, -0.784, 0.208, 0.587, -0.427, -4.761, 2.319, 20.237, 51.542, -107.507, 45.14,
 23:21:41.946,COM4, -0.784, 0.208, 0.593, -0.183, -6.714, 2.625, 20.231, 51.482, -107.496, 45.13,
 23:21:41.946,COM4, -0.778, 0.208, 0.593, -0.183, -6.714, 2.625, 20.226, 51.411, -107.485, 45.13,
 23:21:41.946,COM4, -0.778, 0.213, 0.594, -0.427, -7.813, 3.113, 20.220, 51.328, -107.474, 45.14,
 23:21:41.946,COM4, -0.771, 0.213, 0.594, -0.427, -7.813, 3.113, 20.215, 51.246, -107.463, 45.14,
 23:21:42.033,COM4, -0.771, 0.208, 0.594, -0.977, -8.789, 3.479, 20.204, 51.158, -107.452, 45.14,
 23:21:42.033,COM4, -0.764, 0.208, 0.594, -0.977, -8.789, 3.479, 20.193, 51.064, -107.441, 45.14,
 23:21:42.033,COM4, -0.764, 0.207, 0.600, -0.488, -9.033, 3.662, 20.187, 50.966, -107.430, 45.13,
 23:21:42.033,COM4, -0.761, 0.207, 0.600, -0.488, -9.033, 3.662, 20.182, 50.872, -107.413, 45.13,
 23:21:42.033,COM4, -0.761, 0.211, 0.606, 0.671, -8.179, 3.845, 20.182, 50.779, -107.397, 45.14,
 23:21:42.033,COM4, -0.758, 0.211, 0.606, 0.671, -8.179, 3.845, 20.193, 50.691, -107.380, 45.14,
