时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 10:18:14.339,COM4, -0.294, -0.486, 0.825, 1.648, 0.488, 0.000, -30.558, 17.474, 7.416, 47.48,
 10:18:14.339,COM4, -0.294, -0.476, 0.831, 1.343, 0.000, 0.244, -30.542, 17.474, 7.416, 47.47,
 10:18:14.339,COM4, -0.297, -0.476, 0.831, 1.343, 0.000, 0.244, -30.526, 17.474, 7.416, 47.47,
 10:18:14.339,COM4, -0.297, -0.482, 0.831, 1.282, -0.366, 0.305, -30.515, 17.468, 7.421, 47.48,
 10:18:14.339,COM4, -0.303, -0.482, 0.831, 1.282, -0.366, 0.305, -30.498, 17.468, 7.427, 47.48,
 10:18:14.339,COM4, -0.303, -0.492, 0.824, 1.343, -0.244, -0.061, -30.482, 17.463, 7.427, 47.48,
 10:18:14.339,COM4, -0.300, -0.492, 0.824, 1.343, -0.244, -0.061, -30.471, 17.457, 7.427, 47.48,
 10:18:14.339,COM4, -0.300, -0.479, 0.827, 1.404, -0.366, -0.549, -30.454, 17.452, 7.427, 47.48,
 10:18:14.339,COM4, -0.292, -0.479, 0.827, 1.404, -0.366, -0.549, -30.443, 17.446, 7.421, 47.48,
 10:18:14.356,COM4, -0.292, -0.474, 0.830, 1.404, -0.977, -0.610, -30.427, 17.430, 7.421, 47.47,
 10:18:14.356,COM4, -0.293, -0.474, 0.830, 1.404, -0.977, -0.610, -30.410, 17.419, 7.421, 47.47,
 10:18:14.356,COM4, -0.293, -0.481, 0.832, 0.854, -1.282, -0.549, -30.405, 17.402, 7.421, 47.48,
 10:18:14.356,COM4, -0.298, -0.481, 0.832, 0.854, -1.282, -0.549, -30.394, 17.391, 7.427, 47.48,
 10:18:14.356,COM4, -0.298, -0.487, 0.825, 0.305, -1.099, -0.916, -30.388, 17.375, 7.421, 47.47,
 10:18:14.356,COM4, -0.295, -0.487, 0.825, 0.305, -1.099, -0.916, -30.388, 17.358, 7.421, 47.47,
 10:18:14.356,COM4, -0.295, -0.478, 0.831, 0.427, -0.671, -1.038, -30.383, 17.347, 7.416, 47.48,
 10:18:14.356,COM4, -0.292, -0.478, 0.831, 0.427, -0.671, -1.038, -30.377, 17.336, 7.410, 47.48,
 10:18:14.356,COM4, -0.292, -0.478, 0.828, 0.610, -1.648, -1.099, -30.372, 17.320, 7.405, 47.47,
 10:18:14.356,COM4, -0.295, -0.478, 0.828, 0.610, -1.648, -1.099, -30.366, 17.298, 7.405, 47.47,
 10:18:14.356,COM4, -0.295, -0.480, 0.828, 0.549, -2.380, -1.587, -30.361, 17.271, 7.405, 47.48,
 10:18:14.356,COM4, -0.290, -0.480, 0.828, 0.549, -2.380, -1.587, -30.355, 17.243, 7.399, 47.48,
 10:18:14.356,COM4, -0.290, -0.481, 0.829, 0.244, -2.380, -1.892, -30.350, 17.216, 7.399, 47.48,
 10:18:14.356,COM4, -0.287, -0.481, 0.829, 0.244, -2.380, -1.892, -30.350, 17.183, 7.394, 47.48,
 10:18:14.356,COM4, -0.287, -0.479, 0.832, 0.061, -1.221, -2.197, -30.350, 17.155, 7.383, 47.48,
 10:18:14.356,COM4, -0.295, -0.479, 0.832, 0.061, -1.221, -2.197, -30.350, 17.133, 7.372, 47.48,
 10:18:14.356,COM4, -0.295, -0.481, 0.832, -0.183, -0.244, -2.258, -30.355, 17.117, 7.355, 47.48,
 10:18:14.356,COM4, -0.287, -0.481, 0.832, -0.183, -0.244, -2.258, -30.361, 17.100, 7.333, 47.48,
 10:18:14.370,COM4, -0.287, -0.487, 0.832, -1.099, 0.183, -2.319, -30.372, 17.089, 7.317, 47.48,
 10:18:14.370,COM4, -0.278, -0.487, 0.832, -1.099, 0.183, -2.319, -30.388, 17.078, 7.295, 47.48,
 10:18:14.370,COM4, -0.278, -0.481, 0.839, -2.380, -0.305, -0.671, -30.405, 17.067, 7.278, 47.48,
 10:18:14.370,COM4, -0.276, -0.481, 0.839, -2.380, -0.305, -0.671, -30.427, 17.062, 7.273, 47.48,
 10:18:14.370,COM4, -0.276, -0.475, 0.836, -2.747, -0.793, 0.488, -30.454, 17.056, 7.278, 47.47,
 10:18:14.370,COM4, -0.279, -0.475, 0.836, -2.747, -0.793, 0.488, -30.476, 17.051, 7.284, 47.47,
 10:18:14.370,COM4, -0.279, -0.482, 0.827, -2.197, -0.488, 1.221, -30.493, 17.045, 7.295, 47.49,
