时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 11:02:47.474,COM4, -0.934, -0.001, -0.350, -1.526, 11.780, -1.892, -179.879, 69.296, -74.097, 47.35,
 11:02:47.474,COM4, -0.934, 0.000, -0.341, -1.770, 14.465, -2.441, -179.830, 69.153, -74.037, 47.35,
 11:02:47.474,COM4, -0.921, 0.000, -0.341, -1.770, 14.465, -2.441, -179.786, 69.016, -73.976, 47.35,
 11:02:47.474,COM4, -0.921, -0.004, -0.341, -1.770, 19.836, -2.869, -179.731, 68.824, -73.911, 47.35,
 11:02:47.474,COM4, -0.928, -0.004, -0.341, -1.770, 19.836, -2.869, -179.676, 68.632, -73.839, 47.35,
 11:02:47.474,COM4, -0.928, -0.006, -0.370, -0.854, 22.278, -2.686, -179.621, 68.417, -73.779, 47.35,
 11:02:47.474,COM4, -0.954, -0.006, -0.370, -0.854, 22.278, -2.686, -179.561, 68.203, -73.718, 47.35,
 11:02:47.474,COM4, -0.954, -0.006, -0.380, -1.526, 13.855, -2.136, -179.528, 68.077, -73.674, 47.35,
 11:02:47.474,COM4, -0.953, -0.006, -0.380, -1.526, 13.855, -2.136, -179.489, 67.945, -73.630, 47.35,
 11:02:47.569,COM4, -0.953, -0.014, -0.379, -1.953, 4.333, -0.061, -179.511, 67.912, -73.636, 47.35,
 11:02:47.569,COM4, -0.944, -0.014, -0.379, -1.953, 4.333, -0.061, -179.528, 67.874, -73.641, 47.35,
 11:02:47.569,COM4, -0.944, -0.010, -0.389, -2.380, 3.418, 0.977, -179.572, 67.846, -73.680, 47.34,
 11:02:47.569,COM4, -0.910, -0.010, -0.389, -2.380, 3.418, 0.977, -179.615, 67.819, -73.713, 47.34,
 11:02:47.569,COM4, -0.910, -0.013, -0.394, -3.052, 14.648, 2.747, -179.709, 67.681, -73.795, 47.34,
 11:02:47.569,COM4, -0.926, -0.013, -0.394, -3.052, 14.648, 2.747, -179.802, 67.538, -73.878, 47.34,
 11:02:47.569,COM4, -0.926, -0.020, -0.408, -3.357, 25.818, 2.869, -179.896, 67.341, -73.960, 47.34,
 11:02:47.569,COM4, -0.968, -0.020, -0.408, -3.357, 25.818, 2.869, -179.989, 67.088, -74.042, 47.34,
 11:02:47.569,COM4, -0.968, -0.029, -0.429, -4.639, 25.085, 3.601, 179.896, 66.841, -74.136, 47.36,
 11:02:47.647,COM4, -0.975, -0.029, -0.429, -4.639, 25.085, 3.601, 179.780, 66.599, -74.235, 47.36,
 11:02:47.647,COM4, -0.975, -0.044, -0.447, -6.958, 17.456, 7.263, 179.615, 66.390, -74.377, 47.35,
 11:02:47.647,COM4, -0.922, -0.044, -0.447, -6.958, 17.456, 7.263, 179.401, 66.220, -74.559, 47.35,
 11:02:47.647,COM4, -0.922, -0.043, -0.465, -8.606, 23.376, 9.827, 179.160, 66.022, -74.773, 47.34,
 11:02:47.647,COM4, -0.929, -0.043, -0.465, -8.606, 23.376, 9.827, 178.885, 65.792, -75.015, 47.34,
 11:02:47.647,COM4, -0.929, -0.024, -0.460, -11.780, 27.344, 9.644, 178.610, 65.539, -75.245, 47.35,
 11:02:47.647,COM4, -0.912, -0.024, -0.460, -11.780, 27.344, 9.644, 178.325, 65.270, -75.471, 47.35,
 11:02:47.647,COM4, -0.912, -0.018, -0.467, -14.099, 23.865, 9.277, 178.039, 65.012, -75.690, 47.35,
 11:02:47.647,COM4, -0.898, -0.018, -0.467, -14.099, 23.865, 9.277, 177.753, 64.775, -75.899, 47.35,
 11:02:47.741,COM4, -0.898, 0.006, -0.464, -13.855, 18.066, 9.216, 177.468, 64.567, -76.102, 47.35,
 11:02:47.741,COM4, -0.875, 0.006, -0.464, -13.855, 18.066, 9.216, 177.188, 64.385, -76.311, 47.35,
 11:02:47.741,COM4, -0.875, 0.039, -0.481, -14.648, 12.939, 7.935, 176.913, 64.226, -76.498, 47.35,
