时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 15:18:13.347,COM4, -0.572, -0.423, 0.732, 0.183, -1.465, -2.441, -32.948, 36.216, 16.683, 46.41,
 15:18:13.348,COM4, -0.557, -0.423, 0.732, 0.183, -1.465, -2.441, -32.943, 36.178, 16.672, 46.41,
 15:18:13.348,COM4, -0.557, -0.432, 0.715, -0.366, -0.244, -2.014, -32.943, 36.156, 16.661, 46.41,
 15:18:13.348,COM4, -0.523, -0.432, 0.715, -0.366, -0.244, -2.014, -32.943, 36.129, 16.644, 46.41,
 15:18:13.348,COM4, -0.523, -0.457, 0.703, 1.282, 2.869, -1.465, -32.937, 36.134, 16.617, 46.40,
 15:18:13.348,COM4, -0.533, -0.457, 0.703, 1.282, 2.869, -1.465, -32.932, 36.140, 16.589, 46.40,
 15:18:13.348,COM4, -0.533, -0.454, 0.709, 4.028, 5.676, -2.197, -32.915, 36.161, 16.534, 46.40,
 15:18:13.348,COM4, -0.571, -0.454, 0.709, 4.028, 5.676, -2.197, -32.904, 36.178, 16.479, 46.40,
 15:18:13.425,COM4, -0.571, -0.441, 0.707, 3.601, 5.249, -3.235, -32.899, 36.189, 16.414, 46.42,
 15:18:13.425,COM4, -0.582, -0.441, 0.707, 3.601, 5.249, -3.235, -32.893, 36.200, 16.348, 46.42,
 15:18:13.425,COM4, -0.582, -0.427, 0.709, 1.892, 2.625, -3.723, -32.893, 36.200, 16.293, 46.42,
 15:18:13.425,COM4, -0.558, -0.427, 0.709, 1.892, 2.625, -3.723, -32.899, 36.189, 16.243, 46.42,
 15:18:13.425,COM4, -0.558, -0.425, 0.734, 1.465, 2.930, -4.578, -32.910, 36.178, 16.183, 46.40,
 15:18:13.425,COM4, -0.552, -0.425, 0.734, 1.465, 2.930, -4.578, -32.926, 36.167, 16.122, 46.40,
 15:18:13.425,COM4, -0.552, -0.426, 0.724, 2.136, 6.104, -5.371, -32.943, 36.161, 16.046, 46.41,
 15:18:13.425,COM4, -0.569, -0.426, 0.724, 2.136, 6.104, -5.371, -32.970, 36.167, 15.952, 46.41,
 15:18:13.425,COM4, -0.569, -0.422, 0.724, 2.869, 12.085, -5.615, -33.003, 36.200, 15.842, 46.42,
 15:18:13.519,COM4, -0.588, -0.422, 0.724, 2.869, 12.085, -5.615, -33.041, 36.260, 15.705, 46.42,
 15:18:13.519,COM4, -0.588, -0.429, 0.700, 4.272, 10.376, -4.395, -33.069, 36.310, 15.584, 46.41,
 15:18:13.519,COM4, -0.581, -0.429, 0.700, 4.272, 10.376, -4.395, -33.080, 36.359, 15.474, 46.41,
 15:18:13.519,COM4, -0.581, -0.466, 0.688, 7.019, 7.385, -1.160, -33.063, 36.403, 15.392, 46.41,
 15:18:13.519,COM4, -0.547, -0.466, 0.688, 7.019, 7.385, -1.160, -33.019, 36.447, 15.331, 46.41,
 15:18:13.519,COM4, -0.547, -0.513, 0.663, 11.108, 12.756, 4.456, -32.953, 36.530, 15.287, 46.41,
 15:18:13.519,COM4, -0.633, -0.513, 0.663, 11.108, 12.756, 4.456, -32.866, 36.645, 15.255, 46.41,
 15:18:13.519,COM4, -0.633, -0.561, 0.672, 16.785, 19.104, 14.282, -32.728, 36.815, 15.249, 46.40,
 15:18:13.519,COM4, -0.774, -0.561, 0.672, 16.785, 19.104, 14.282, -32.552, 37.035, 15.276, 46.40,
 15:18:13.600,COM4, -0.774, -0.626, 0.692, 25.085, 13.794, 27.161, -32.294, 37.271, 15.386, 46.41,
 15:18:13.600,COM4, -0.872, -0.626, 0.692, 25.085, 13.794, 27.161, -31.937, 37.518, 15.590, 46.41,
 15:18:13.600,COM4, -0.872, -0.696, 0.556, 29.968, 25.635, 51.819, -31.514, 37.881, 15.886, 46.41,
 15:18:13.600,COM4, -0.963, -0.696, 0.556, 29.968, 25.635, 51.819, -31.009, 38.364, 16.287, 46.41,
 15:18:13.600,COM4, -0.963, -0.708, 0.494, 28.137, 14.832, 74.524, -30.416, 38.853, 16.853, 46.41,
 15:18:13.600,COM4, -1.049, -0.708, 0.494, 28.137, 14.832, 74.524, -29.740, 39.359, 17.589, 46.41,
 15:18:13.600,COM4, -1.049, -0.660, 0.485, 18.311, -15.930, 95.154, -28.965, 39.771, 18.556, 46.41,
 15:18:13.600,COM4, -1.008, -0.660, 0.485, 18.311, -15.930, 95.154, -28.109, 40.095, 19.748, 46.41,
 15:18:13.600,COM4, -1.008, -0.580, 0.473, 8.728, -32.471, 111.877, -27.202, 40.380, 21.099, 46.42,
 15:18:13.696,COM4, -0.965, -0.580, 0.473, 8.728, -32.471, 111.877, -26.241, 40.611, 22.610, 46.42,
 15:18:13.696,COM4, -0.965, -0.511, 0.400, -0.305, -21.729, 127.563, -25.280, 40.913, 24.192, 46.41,
 15:18:13.696,COM4, -0.962, -0.511, 0.400, -0.305, -21.729, 127.563, -24.318, 41.281, 25.856, 46.41,
 15:18:13.696,COM4, -0.962, -0.442, 0.319, -15.076, -0.305, 140.564, -23.395, 41.754, 27.559, 46.41,
 15:18:13.696,COM4, -0.922, -0.442, 0.319, -15.076, -0.305, 140.564, -22.516, 42.336, 29.312, 46.41,
 15:18:13.696,COM4, -0.922, -0.316, 0.294, -38.086, 11.169, 148.010, -21.709, 42.973, 31.108, 46.42,
 15:18:13.696,COM4, -0.828, -0.316, 0.294, -38.086, 11.169, 148.010, -20.973, 43.660, 32.953, 46.42,
 15:18:13.696,COM4, -0.828, -0.207, 0.308, -63.171, 13.489, 148.376, -20.330, 44.346, 34.827, 46.41,
 15:18:13.696,COM4, -0.765, -0.207, 0.308, -63.171, 13.489, 148.376, -19.770, 45.033, 36.727, 46.41,
 15:18:13.822,COM4, -0.765, -0.135, 0.364, -86.548, 11.414, 143.250, -19.308, 45.687, 38.628, 46.41,
 15:18:13.822,COM4, -0.742, -0.135, 0.364, -86.548, 11.414, 143.250, -18.946, 46.318, 40.529, 46.41,
 15:18:13.822,COM4, -0.742, -0.108, 0.425, -108.337, 8.972, 132.324, -18.699, 46.917, 42.380, 46.40,
 15:18:13.822,COM4, -0.731, -0.108, 0.425, -108.337, 8.972, 132.324, -18.578, 47.477, 44.182, 46.40,
 15:18:13.822,COM4, -0.731, -0.101, 0.448, -127.319, 16.418, 117.432, -18.600, 48.054, 45.879, 46.42,
 15:18:13.822,COM4, -0.716, -0.101, 0.448, -127.319, 16.418, 117.432, -18.776, 48.636, 47.472, 46.42,
 15:18:13.822,COM4, -0.716, -0.051, 0.437, -151.245, 31.372, 104.187, -19.133, 49.274, 48.939, 46.41,
 15:18:13.822,COM4, -0.688, -0.051, 0.437, -151.245, 31.372, 104.187, -19.677, 49.960, 50.290, 46.41,
 15:18:13.869,COM4, -0.688, -0.051, 0.417, -169.189, 46.570, 92.773, -20.374, 50.713, 51.515, 46.40,
 15:18:13.869,COM4, -0.633, -0.051, 0.417, -169.189, 46.570, 92.773, -21.231, 51.520, 52.625, 46.40,
 15:18:13.869,COM4, -0.633, -0.107, 0.259, -177.002, 94.116, 88.501, -22.242, 52.542, 53.553, 46.41,
 15:18:13.869,COM4, -0.797, -0.107, 0.259, -177.002, 94.116, 88.501, -23.428, 53.789, 54.289, 46.41,
 15:18:13.869,COM4, -0.797, -0.156, 0.167, -187.195, 122.742, 80.017, -24.802, 55.151, 54.833, 46.42,
 15:18:13.869,COM4, -0.972, -0.156, 0.167, -187.195, 122.742, 80.017, -26.395, 56.635, 55.157, 46.42,
 15:18:13.869,COM4, -0.972, -0.271, 0.261, -197.937, 90.698, 72.083, -28.026, 57.958, 55.492, 46.42,
 15:18:13.869,COM4, -1.031, -0.271, 0.261, -197.937, 90.698, 72.083, -29.691, 59.128, 55.844, 46.42,
 15:18:13.869,COM4, -1.031, -0.255, 0.364, -206.970, 26.733, 67.688, -31.190, 60.013, 56.437, 46.40,
 15:18:13.948,COM4, -1.053, -0.255, 0.364, -206.970, 26.733, 67.688, -32.498, 60.623, 57.299, 46.40,
 15:18:13.948,COM4, -1.053, -0.305, 0.407, -210.571, -20.142, 71.838, -33.558, 61.051, 58.453, 46.40,
 15:18:13.948,COM4, -0.984, -0.305, 0.407, -210.571, -20.142, 71.838, -34.365, 61.304, 59.908, 46.40,
 15:18:13.948,COM4, -0.984, -0.337, 0.405, -206.604, -32.776, 74.707, -35.057, 61.523, 61.469, 46.40,
 15:18:13.948,COM4, -0.943, -0.337, 0.405, -206.604, -32.776, 74.707, -35.634, 61.699, 63.138, 46.40,
 15:18:13.948,COM4, -0.943, -0.376, 0.417, -197.754, -23.438, 79.834, -36.172, 61.935, 64.797, 46.41,
 15:18:13.948,COM4, -1.000, -0.376, 0.417, -197.754, -23.438, 79.834, -36.667, 62.232, 66.456, 46.41,
 15:18:13.948,COM4, -1.000, -0.429, 0.398, -192.688, -17.029, 76.050, -37.194, 62.540, 68.055, 46.41,
 15:18:13.948,COM4, -0.988, -0.429, 0.398, -192.688, -17.029, 76.050, -37.749, 62.864, 69.587, 46.41,
 15:18:14.043,COM4, -0.988, -0.435, 0.388, -184.082, -15.259, 78.491, -38.249, 63.210, 71.136, 46.40,
 15:18:14.043,COM4, -0.938, -0.435, 0.388, -184.082, -15.259, 78.491, -38.683, 63.572, 72.713, 46.40,
 15:18:14.043,COM4, -0.938, -0.468, 0.472, -175.781, -18.982, 77.148, -39.045, 63.913, 74.312, 46.41,
 15:18:14.043,COM4, -0.887, -0.468, 0.472, -175.781, -18.982, 77.148, -39.342, 64.232, 75.943, 46.41,
 15:18:14.043,COM4, -0.887, -0.450, 0.521, -161.865, -30.518, 72.754, -39.507, 64.495, 77.629, 46.42,
 15:18:14.043,COM4, -0.874, -0.450, 0.521, -161.865, -30.518, 72.754, -39.551, 64.688, 79.371, 46.42,
 15:18:14.043,COM4, -0.874, -0.426, 0.493, -145.447, -39.795, 68.970, -39.463, 64.836, 81.161, 46.40,
 15:18:14.043,COM4, -0.861, -0.426, 0.493, -145.447, -39.795, 68.970, -39.260, 64.924, 82.985, 46.40,
 15:18:14.043,COM4, -0.861, -0.409, 0.447, -130.127, -41.748, 62.744, -39.012, 64.979, 84.776, 46.42,
 15:18:14.137,COM4, -0.857, -0.409, 0.447, -130.127, -41.748, 62.744, -38.721, 65.001, 86.523, 46.42,
 15:18:14.137,COM4, -0.857, -0.415, 0.441, -116.882, -32.654, 54.504, -38.502, 65.034, 88.127, 46.41,
 15:18:14.137,COM4, -0.823, -0.415, 0.441, -116.882, -32.654, 54.504, -38.342, 65.067, 89.588, 46.41,
 15:18:14.137,COM4, -0.823, -0.430, 0.487, -103.394, -21.851, 44.739, -38.271, 65.110, 90.879, 46.42,
 15:18:14.137,COM4, -0.820, -0.430, 0.487, -103.394, -21.851, 44.739, -38.287, 65.160, 91.994, 46.42,
 15:18:14.137,COM4, -0.820, -0.426, 0.494, -88.684, -16.785, 33.630, -38.353, 65.198, 92.972, 46.41,
 15:18:14.137,COM4, -0.852, -0.426, 0.494, -88.684, -16.785, 33.630, -38.469, 65.215, 93.807, 46.41,
 15:18:14.137,COM4, -0.852, -0.432, 0.474, -75.439, -13.245, 23.376, -38.633, 65.215, 94.521, 46.41,
 15:18:14.216,COM4, -0.854, -0.432, 0.474, -75.439, -13.245, 23.376, -38.842, 65.198, 95.103, 46.41,
 15:18:14.216,COM4, -0.854, -0.458, 0.421, -63.965, -4.639, 12.146, -39.144, 65.176, 95.521, 46.41,
 15:18:14.216,COM4, -0.841, -0.458, 0.421, -63.965, -4.639, 12.146, -39.551, 65.154, 95.768, 46.41,
 15:18:14.216,COM4, -0.841, -0.457, 0.375, -54.626, 15.381, 4.517, -40.106, 65.187, 95.795, 46.41,
 15:18:14.216,COM4, -0.798, -0.457, 0.375, -54.626, 15.381, 4.517, -40.825, 65.270, 95.592, 46.41,
 15:18:14.216,COM4, -0.798, -0.448, 0.330, -50.232, 44.739, 3.967, -41.743, 65.462, 95.147, 46.41,
 15:18:14.216,COM4, -0.794, -0.448, 0.330, -50.232, 44.739, 3.967, -42.874, 65.753, 94.444, 46.41,
 15:18:14.216,COM4, -0.794, -0.437, 0.414, -42.114, 65.247, 4.211, -44.138, 66.110, 93.543, 46.42,
 15:18:14.216,COM4, -0.834, -0.437, 0.414, -42.114, 65.247, 4.211, -45.555, 66.533, 92.433, 46.42,
 15:18:14.326,COM4, -0.834, -0.450, 0.506, -37.537, 70.557, 1.648, -47.049, 66.951, 91.208, 46.40,
 15:18:14.326,COM4, -0.869, -0.450, 0.506, -37.537, 70.557, 1.648, -48.625, 67.357, 89.863, 46.40,
 15:18:14.326,COM4, -0.869, -0.507, 0.447, -38.330, 81.665, 1.770, -50.356, 67.780, 88.352, 46.41,
 15:18:14.326,COM4, -0.941, -0.507, 0.447, -38.330, 81.665, 1.770, -52.245, 68.214, 86.671, 46.41,
