时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 10:55:27.348,COM4, 0.167, -0.009, 0.981, 2.808, -5.066, 0.793, -2.455, -7.526, 168.717, 45.91,
 10:55:27.348,COM4, 0.201, -0.009, 0.981, 2.808, -5.066, 0.793, -2.417, -7.592, 168.745, 45.91,
 10:55:27.348,COM4, 0.201, -0.004, 0.966, 3.357, -4.089, 1.709, -2.379, -7.641, 168.772, 45.92,
 10:55:27.348,COM4, 0.222, -0.004, 0.966, 3.357, -4.089, 1.709, -2.335, -7.690, 168.805, 45.92,
 10:55:27.348,COM4, 0.222, 0.008, 0.965, 3.723, 1.770, 0.793, -2.291, -7.718, 168.827, 45.92,
 10:55:27.348,COM4, 0.177, 0.008, 0.965, 3.723, 1.770, 0.793, -2.241, -7.712, 168.849, 45.92,
 10:55:27.348,COM4, 0.177, 0.014, 0.983, 3.052, 4.211, -0.610, -2.192, -7.701, 168.860, 45.92,
 10:55:27.348,COM4, 0.139, 0.014, 0.983, 3.052, 4.211, -0.610, -2.148, -7.674, 168.865, 45.92,
 10:55:27.349,COM4, 0.139, 0.008, 0.983, 2.258, 0.793, -0.610, -2.109, -7.668, 168.871, 45.92,
 10:55:27.426,COM4, 0.155, 0.008, 0.983, 2.258, 0.793, -0.610, -2.076, -7.674, 168.876, 45.92,
 10:55:27.426,COM4, 0.155, -0.008, 0.980, 2.258, -2.869, -0.122, -2.038, -7.696, 168.882, 45.92,
 10:55:27.426,COM4, 0.180, -0.008, 0.980, 2.258, -2.869, -0.122, -2.005, -7.740, 168.893, 45.92,
 10:55:27.426,COM4, 0.180, -0.012, 0.988, 4.822, -3.357, 1.526, -1.956, -7.784, 168.915, 45.92,
 10:55:27.426,COM4, 0.182, -0.012, 0.988, 4.822, -3.357, 1.526, -1.901, -7.828, 168.942, 45.92,
 10:55:27.426,COM4, 0.182, -0.039, 0.999, 4.211, -2.869, 5.432, -1.851, -7.872, 168.992, 45.92,
 10:55:27.426,COM4, 0.146, -0.039, 0.999, 4.211, -2.869, 5.432, -1.807, -7.910, 169.058, 45.92,
 10:55:27.426,COM4, 0.146, -0.103, 1.051, 2.319, -6.409, 12.024, -1.780, -7.965, 169.156, 45.92,
 10:55:27.426,COM4, 0.104, -0.103, 1.051, 2.319, -6.409, 12.024, -1.769, -8.036, 169.294, 45.92,
 10:55:27.522,COM4, 0.104, -0.212, 1.092, 1.465, -15.137, 18.311, -1.774, -8.146, 169.459, 45.91,
 10:55:27.522,COM4, 0.267, -0.212, 1.092, 1.465, -15.137, 18.311, -1.791, -8.295, 169.662, 45.91,
 10:55:27.522,COM4, 0.267, -0.292, 1.096, 16.663, 12.146, 28.931, -1.747, -8.306, 169.909, 45.92,
 10:55:27.522,COM4, 0.184, -0.292, 1.096, 16.663, 12.146, 28.931, -1.642, -8.185, 170.211, 45.92,
 10:55:27.522,COM4, 0.184, -0.382, 1.152, 40.222, 88.196, 49.927, -1.439, -7.685, 170.601, 45.92,
 10:55:27.522,COM4, 0.047, -0.382, 1.152, 40.222, 88.196, 49.927, -1.137, -6.806, 171.096, 45.92,
 10:55:27.522,COM4, 0.047, -0.506, 1.178, 58.472, 189.026, 92.041, -0.764, -5.427, 171.793, 45.92,
 10:55:27.522,COM4, -0.512, -0.506, 1.178, 58.472, 189.026, 92.041, -0.308, -3.560, 172.705, 45.92,
 10:55:27.522,COM4, -0.512, -0.661, 1.045, 71.289, 197.021, 144.409, 0.209, -1.659, 173.886, 45.93,
 10:55:27.617,COM4, -0.422, -0.661, 1.045, 71.289, 197.021, 144.409, 0.813, 0.269, 175.347, 45.93,
 10:55:27.617,COM4, -0.422, -0.842, 0.878, 86.365, 134.644, 184.021, 1.533, 1.879, 177.017, 45.92,
 10:55:27.617,COM4, -0.345, -0.842, 0.878, 86.365, 134.644, 184.021, 2.351, 3.153, 178.901, 45.92,
 10:55:27.617,COM4, -0.345, -0.799, 0.833, 94.666, 111.633, 202.881, 3.235, 4.285, -179.110, 45.92,
 10:55:27.617,COM4, -0.154, -0.799, 0.833, 94.666, 111.633, 202.881, 4.191, 5.268, -177.017, 45.92,
 10:55:27.617,COM4, -0.154, -0.668, 0.777, 92.590, 110.962, 214.172, 5.164, 6.207, -174.853, 45.92,
 10:55:27.617,COM4, -0.037, -0.668, 0.777, 92.590, 110.962, 214.172, 6.158, 7.097, -172.623, 45.92,
 10:55:27.617,COM4, -0.037, -0.508, 0.570, 85.327, 107.239, 212.891, 7.130, 7.932, -170.381, 45.92,
