时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),温度(℃)
 11:12:04.263,COM4, -0.146, 0.223, 0.953, -0.305, 0.000, 0.000, 13.162, 8.514, -30.630, 47.71,
 11:12:04.263,COM4, -0.146, 0.224, 0.949, 0.000, -1.221, 0.122, 13.162, 8.509, -30.630, 47.71,
 11:12:04.263,COM4, -0.134, 0.224, 0.949, 0.000, -1.221, 0.122, 13.162, 8.492, -30.630, 47.71,
 11:12:04.263,COM4, -0.134, 0.225, 0.952, -0.122, -0.977, 0.061, 13.162, 8.481, -30.635, 47.72,
 11:12:04.263,COM4, -0.142, 0.225, 0.952, -0.122, -0.977, 0.061, 13.162, 8.470, -30.635, 47.72,
 11:12:04.263,COM4, -0.142, 0.222, 0.953, 0.610, -0.793, -0.183, 13.162, 8.459, -30.635, 47.72,
 11:12:04.263,COM4, -0.159, 0.222, 0.953, 0.610, -0.793, -0.183, 13.173, 8.448, -30.641, 47.72,
 11:12:04.263,COM4, -0.159, 0.216, 0.948, 4.395, -2.686, -0.793, 13.195, 8.432, -30.652, 47.72,
 11:12:04.263,COM4, -0.139, 0.216, 0.948, 4.395, -2.686, -0.793, 13.239, 8.405, -30.663, 47.72,
 11:12:04.326,COM4, -0.139, 0.233, 0.949, 6.226, -3.723, -0.977, 13.288, 8.377, -30.679, 47.72,
 11:12:04.326,COM4, -0.099, 0.233, 0.949, 6.226, -3.723, -0.977, 13.348, 8.344, -30.696, 47.72,
 11:12:04.326,COM4, -0.099, 0.238, 0.952, 3.174, -1.587, -1.038, 13.392, 8.317, -30.712, 47.71,
 11:12:04.326,COM4, -0.120, 0.238, 0.952, 3.174, -1.587, -1.038, 13.420, 8.306, -30.729, 47.71,
 11:12:04.326,COM4, -0.120, 0.224, 0.953, 1.221, 1.526, -0.305, 13.442, 8.300, -30.734, 47.71,
 11:12:04.326,COM4, -0.146, 0.224, 0.953, 1.221, 1.526, -0.305, 13.453, 8.317, -30.734, 47.71,
 11:12:04.326,COM4, -0.146, 0.224, 0.950, 0.793, 2.686, 0.671, 13.464, 8.333, -30.729, 47.71,
 11:12:04.326,COM4, -0.148, 0.224, 0.950, 0.793, 2.686, 0.671, 13.475, 8.355, -30.712, 47.71,
 11:12:04.326,COM4, -0.148, 0.226, 0.950, 0.549, 1.587, 0.793, 13.480, 8.366, -30.701, 47.71,
 11:12:04.406,COM4, -0.112, 0.226, 0.950, 0.549, 1.587, 0.793, 13.486, 8.377, -30.690, 47.71,
 11:12:04.406,COM4, -0.112, 0.229, 0.955, 2.441, 3.540, 0.305, 13.502, 8.399, -30.679, 47.72,
 11:12:04.406,COM4, -0.153, 0.229, 0.955, 2.441, 3.540, 0.305, 13.530, 8.432, -30.668, 47.72,
 11:12:04.406,COM4, -0.153, 0.238, 0.946, 2.563, 4.517, -0.610, 13.557, 8.465, -30.663, 47.72,
 11:12:04.406,COM4, -0.164, 0.238, 0.946, 2.563, 4.517, -0.610, 13.579, 8.509, -30.657, 47.72,
 11:12:04.406,COM4, -0.164, 0.239, 0.946, 1.526, 1.831, -0.427, 13.601, 8.536, -30.652, 47.71,
 11:12:04.406,COM4, -0.147, 0.239, 0.946, 1.526, 1.831, -0.427, 13.618, 8.553, -30.652, 47.71,
 11:12:04.406,COM4, -0.147, 0.242, 0.947, 0.427, -0.549, -0.427, 13.629, 8.558, -30.657, 47.72,
 11:12:04.406,COM4, -0.130, 0.242, 0.947, 0.427, -0.549, -0.427, 13.629, 8.553, -30.663, 47.72,
 11:12:04.502,COM4, -0.130, 0.240, 0.948, -0.366, -0.549, -0.427, 13.629, 8.547, -30.668, 47.73,
 11:12:04.502,COM4, -0.130, 0.240, 0.948, -0.366, -0.549, -0.427, 13.629, 8.542, -30.674, 47.73,
 11:12:04.502,COM4, -0.130, 0.233, 0.950, -0.366, 0.488, -0.244, 13.623, 8.536, -30.674, 47.71,
 11:12:04.502,COM4, -0.127, 0.233, 0.950, -0.366, 0.488, -0.244, 13.623, 8.542, -30.679, 47.71,
 11:12:04.502,COM4, -0.127, 0.227, 0.952, 0.061, 2.014, 0.305, 13.623, 8.547, -30.674, 47.71,
 11:12:04.502,COM4, -0.117, 0.227, 0.952, 0.061, 2.014, 0.305, 13.623, 8.564, -30.668, 47.71,
 11:12:04.502,COM4, -0.117, 0.225, 0.954, 0.671, 4.333, 1.465, 13.634, 8.591, -30.652, 47.72,
 11:12:04.502,COM4, -0.156, 0.225, 0.954, 0.671, 4.333, 1.465, 13.645, 8.624, -30.624, 47.72,
 11:12:04.502,COM4, -0.156, 0.225, 0.948, 0.732, 5.310, 1.587, 13.656, 8.663, -30.597, 47.72,
 11:12:04.613,COM4, -0.189, 0.225, 0.948, 0.732, 5.310, 1.587, 13.667, 8.707, -30.569, 47.72,
 11:12:04.613,COM4, -0.189, 0.229, 0.944, 0.061, 1.892, 2.075, 13.672, 8.729, -30.542, 47.71,
 11:12:04.613,COM4, -0.161, 0.229, 0.944, 0.061, 1.892, 2.075, 13.678, 8.740, -30.520, 47.71,
 11:12:04.613,COM4, -0.161, 0.238, 0.947, 0.000, -2.686, 3.357, 13.683, 8.729, -30.493, 47.71,
 11:12:04.613,COM4, -0.137, 0.238, 0.947, 0.000, -2.686, 3.357, 13.683, 8.696, -30.465, 47.71,
 11:12:04.613,COM4, -0.137, 0.245, 0.945, -0.122, -4.089, 3.052, 13.689, 8.657, -30.443, 47.71,
 11:12:04.613,COM4, -0.111, 0.245, 0.945, -0.122, -4.089, 3.052, 13.689, 8.608, -30.421, 47.71,
 11:12:04.613,COM4, -0.111, 0.229, 0.953, -0.305, -2.686, 3.723, 13.694, 8.569, -30.399, 47.72,
 11:12:04.677,COM4, -0.113, 0.229, 0.953, -0.305, -2.686, 3.723, 13.694, 8.531, -30.366, 47.72,
 11:12:04.677,COM4, -0.113, 0.235, 0.953, -0.244, 0.671, 5.493, 13.700, 8.509, -30.322, 47.71,
 11:12:04.677,COM4, -0.182, 0.235, 0.953, -0.244, 0.671, 5.493, 13.705, 8.498, -30.267, 47.71,
 11:12:04.677,COM4, -0.182, 0.229, 0.946, -1.343, -0.305, 6.104, 13.705, 8.481, -30.212, 47.73,
 11:12:04.677,COM4, -0.183, 0.229, 0.946, -1.343, -0.305, 6.104, 13.705, 8.465, -30.152, 47.73,
 11:12:04.677,COM4, -0.183, 0.231, 0.944, -1.221, -4.456, 6.592, 13.700, 8.427, -30.097, 47.72,
 11:12:04.677,COM4, -0.151, 0.231, 0.944, -1.221, -4.456, 6.592, 13.694, 8.372, -30.042, 47.72,
 11:12:04.677,COM4, -0.151, 0.232, 0.950, -0.671, -7.813, 6.409, 13.694, 8.300, -29.993, 47.71,
 11:12:04.677,COM4, -0.108, 0.232, 0.950, -0.671, -7.813, 6.409, 13.694, 8.212, -29.949, 47.71,
 11:12:04.770,COM4, -0.108, 0.240, 0.951, -0.427, -6.653, 5.127, 13.694, 8.130, -29.910, 47.72,
 11:12:04.770,COM4, -0.087, 0.240, 0.951, -0.427, -6.653, 5.127, 13.694, 8.058, -29.877, 47.72,
 11:12:04.770,COM4, -0.087, 0.240, 0.954, 0.671, -1.770, 4.578, 13.705, 8.004, -29.839, 47.71,
 11:12:04.770,COM4, -0.077, 0.240, 0.954, 0.671, -1.770, 4.578, 13.716, 7.976, -29.795, 47.71,
 11:12:04.770,COM4, -0.077, 0.238, 0.952, 1.343, 4.028, 4.822, 13.733, 7.976, -29.745, 47.71,
 11:12:04.770,COM4, -0.139, 0.238, 0.952, 1.343, 4.028, 4.822, 13.755, 7.998, -29.691, 47.71,
 11:12:04.770,COM4, -0.139, 0.234, 0.949, 1.465, 7.324, 4.333, 13.782, 8.036, -29.630, 47.71,
 11:12:04.770,COM4, -0.135, 0.234, 0.949, 1.465, 7.324, 4.333, 13.804, 8.091, -29.570, 47.71,
 11:12:04.770,COM4, -0.135, 0.233, 0.952, 1.831, 5.371, 4.211, 13.832, 8.141, -29.515, 47.72,
 11:12:04.848,COM4, -0.153, 0.233, 0.952, 1.831, 5.371, 4.211, 13.854, 8.179, -29.460, 47.72,
 11:12:04.848,COM4, -0.153, 0.234, 0.950, 1.831, 3.235, 3.540, 13.881, 8.207, -29.410, 47.72,
 11:12:04.848,COM4, -0.160, 0.234, 0.950, 1.831, 3.235, 3.540, 13.903, 8.223, -29.372, 47.72,
